V4,code,commodity,parent,Family Or Group,General Groups
H2,30250,"030250 - - Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding Livers and roes",302,COD,COD
H3,30250,"030250 - -  Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",302,COD,COD
H4,30251,"030251 - -- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",3025,COD,COD
H4,30252,030252 - -- Haddock (Melanogrammus aeglefinus),3025,HADDOCK,HADDOCK
H4,30253,030253 - -- Coalfish (Pollachius virens),3025,COALFISH,COALFISH
H4,30254,"030254 - -- Hake (Merluccius spp., Urophycis spp.)",3025,HAKE,HAKE
H4,30255,030255 - -- Alaska Pollack (Theragra chalcogramma),3025,ALASKA POLLACK,ALASKA POLLACK
H4,30256,"030256 - -- Blue whitings (Micromesistius poutassou, Micromesistiusaustralis)",3025,BLUE WHITINGS,BLUE WHITINGS
H4,30259,"030259 
 Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04. // - Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciid
Description: -- Other",3025,"CODS, CODLETS & COD-LIKE FISHES",COD
H2,30261,"030261 - -- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (sardinella spp.), brisling or sprats (Sprattus Sprattus)",3026,"SARDINES , SARDINELLA , BRISLING OR SPRATS",SARDINES
H3,30261,"030261 - --  Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",3026,"SARDINES , SARDINELLA , BRISLING OR SPRATS",SARDINES
H2,30262,030262 - -- Haddock (Melanogrammus aeglefinus),3026,HADDOCK,HADDOCK
H3,30262,030262 - --  Haddock (Melanogrammus aeglefinus),3026,HADDOCK,HADDOCK
H2,30263,030263 - -- Coalfish (Pollachius virens),3026,COALFISH,
H3,30263,030263 - --  Coalfish (Pollachius virens),3026,COALFISH,COALFISH
